페이지,종목명,현재가,전일비,등락률,거래량,거래대금,시가총액
1,삼성전자,"67,100",상승400,+0.60%,"23,853,052","1,600,973","3,972,077"
1,SK하이닉스,"269,000",하락500,-0.19%,"5,245,613","1,413,676","1,958,326"
1,LG에너지솔루션,"322,500","상승5,500",+1.74%,"281,309","90,391","754,650"
1,삼성바이오로직스,"1,051,000","하락19,000",-1.78%,"75,664","79,649","748,039"
1,KB금융,"113,400","하락1,400",-1.22%,"627,930","71,408","432,578"
1,현대차,"210,500",상승500,+0.24%,"317,353","66,653","431,015"
1,한화에어로스페이스,"896,000",보합0,0.00%,"176,796","158,820","423,774"
1,두산에너빌리티,"64,800","상승1,500",+2.37%,"5,840,366","373,895","415,084"
1,셀트리온,"180,300",하락100,-0.06%,"257,912","46,503","401,034"
1,기아,"99,800",하락400,-0.40%,"586,973","58,766","396,877"
2,NAVER,"242,000","하락1,500",-0.62%,"703,602","170,337","383,418"
2,HD현대중공업,"405,500","상승5,000",+1.25%,"116,930","47,384","359,975"
2,신한지주,"68,900","하락1,000",-1.43%,"771,031","53,107","334,506"
2,삼성물산,"174,400","하락10,000",-5.42%,"675,471","118,345","296,439"
2,현대모비스,"303,000","하락4,500",-1.46%,"159,995","48,404","278,139"
2,삼성생명,"135,600","하락4,200",-3.00%,"378,143","50,817","271,200"
2,하나금융지주,"91,500",하락400,-0.44%,"569,572","52,136","260,522"
2,HMM,"25,000",하락250,-0.99%,"974,570","24,278","256,260"
2,POSCO홀딩스,"311,000","상승3,500",+1.14%,"557,426","174,091","251,701"
2,카카오,"56,900",하락600,-1.04%,"1,334,076","75,746","251,506"
3,한화오션,"80,400",하락300,-0.37%,"1,353,803","108,253","246,356"
3,HD한국조선해양,"331,500",하락500,-0.15%,"139,184","46,032","234,613"
3,한국전력,"36,250",하락250,-0.68%,"2,154,499","77,835","232,712"
3,삼성화재,"466,500","하락11,000",-2.30%,"83,245","38,937","214,642"
3,SK스퀘어,"160,500","상승1,600",+1.01%,"502,251","80,278","212,728"
3,현대로템,"194,300","하락3,300",-1.67%,"569,612","110,272","212,063"
3,메리츠금융지주,"116,200",하락700,-0.60%,"197,238","22,913","209,177"
3,LG화학,"272,500","상승3,000",+1.11%,"244,314","66,803","192,364"
3,우리금융지주,"24,850",하락350,-1.39%,"1,947,641","48,344","184,534"
3,HD현대일렉트릭,"482,500","상승6,500",+1.37%,"168,007","81,110","173,927"
4,SK이노베이션,"113,500","상승1,900",+1.70%,"256,326","29,003","171,424"
4,KT&G,"139,500","하락1,200",-0.85%,"205,945","28,781","170,277"
4,크래프톤,"354,000","상승2,500",+0.71%,"117,965","41,763","167,768"
4,삼성중공업,"18,790",하락120,-0.63%,"4,459,262","83,319","165,352"
4,기업은행,"20,500",하락450,-2.15%,"1,056,591","21,668","163,472"
4,고려아연,"809,000","하락16,000",-1.94%,"14,536","11,789","161,988"
4,SK,"221,500","상승9,000",+4.24%,"269,825","58,415","160,593"
4,삼성SDI,"182,500","상승3,500",+1.96%,"686,213","125,153","147,069"
4,KT,"57,200",하락600,-1.04%,"245,544","14,094","144,156"
4,삼성에스디에스,"186,000",하락200,-0.11%,"319,491","59,008","143,923"
5,카카오뱅크,"29,400",상승200,+0.68%,"782,194","23,009","140,235"
5,LIG넥스원,"631,000","상승3,000",+0.48%,"88,640","55,813","138,820"
5,LG,"80,700","하락1,400",-1.71%,"216,680","17,492","126,902"
